신호등_index,관리번호,관할구,주소,X좌표,Y좌표,교통사고,label,smart_label
23763,03-0000029229,중랑구,중랑구 신내동 55-1대,208245.8144,557449.952,1339.745159,1,0.644593945
23764,03-0000002072,중랑구,중랑구 신내동 55-1대,208276.6603,557433.7951,1363.210602,0,0.174953707
23765,03-0000021650,중랑구,중랑구 신내동 55-1대,208264.6887,557450.0889,1357.483698,0,0.303070948
23766,03-0000024364,중랑구,중랑구 신내동 667-1도,208394.5926,556393.4101,1273.482171,1,0.688536809
23767,03-0000023942,중랑구,중랑구 신내동 667-1도,208389.8084,556370.719,1250.994716,1,0.675651657
23768,03-0000023951,중랑구,중랑구 신내동 667-1도,208386.8464,556349.5961,1230.749259,1,0.703200938
23769,03-0000024374,중랑구,중랑구 신내동 618대,208426.0759,556355.5041,1253.952107,1,0.736229884
23770,03-0000059055,중랑구,중랑구 신내동 317 대,208728.064,556516.0542,1477.266222,0,0.327326327
23771,03-0000027230,중랑구,중랑구 신내동 317 대,208719.4875,556491.3187,1456.439076,1,0.502469982
23772,03-0000058881,중랑구,중랑구 신내동 317 대,208639.1639,556472.9159,1463.652555,1,0.621350256
23773,03-0000024081,중랑구,중랑구 신내동 317 대,208628.1735,556486.903,1469.439017,1,0.613463544
23774,03-0000059049,중랑구,중랑구 신내동 산67-13임,208553.9486,556458.2195,1406.133066,1,0.713891576
23775,03-0000024328,중랑구,중랑구 상봉동 660대,208174.6554,556262.2605,1068.671743,1,0.622632581
23776,03-0000031535,중랑구,중랑구 상봉동 660대,208174.6704,556253.7147,1060.569242,1,0.604761886
23777,03-0000024383,중랑구,중랑구 신내동 394-9대,208640.575,556174.4687,1193.886826,0,0.232799456
23778,03-0000075465,중랑구,중랑구 면목동 690도,207491.7479,552721.3923,750.015197,0,0.332042632
23779,03-0000062366,중랑구,중랑구 신내동 561도,208431.2155,556044.2111,992.9023226,0,0.391899608
23780,03-0000062368,중랑구,중랑구 신내동 591대,208449.3868,556042.5529,1002.549935,0,0.583669995
23781,03-0000024205,중랑구,중랑구 상봉동 산27임,207682.3176,555918.9013,688.7269437,1,0.551879513
23782,03-0000024208,중랑구,중랑구 상봉동 산25임,207707.842,555925.156,689.5510033,1,0.508036477
23783,03-0000062474,중랑구,중랑구 면목동 221 학,207727.3494,554304.7683,876.9105164,1,0.819689618
